"","Product_ID","Outlet_Location_Type","Outlet_Type","Product_Weight","Product_Fat_Content","Product_Visibility","Product_Type","Product_MRP","Outlet_Establishment_Year","Outlet_Size","Outlet_ID","Product_Outlet_Sales"
"1","FDN21","Tier 1","Supermarket Type1",18.6,"Low Fat",0.076855628,"Snack Foods",161.0236,1997,"Small","OUT046",2590.20258190264
"2","NCK31","Tier 3","Supermarket Type2",10.895,"Low Fat",0.027157955,"Others",50.2666,2009,"Medium","OUT018",773.043139364709
"3","FDF12","Tier 3","Supermarket Type1",8.235,"Low Fat",0.08235926,"Baking Goods",147.6076,1987,"High","OUT013",2370.08998332116
"4","FDY14","Tier 1","Supermarket Type1",10.3,"Low Fat",0.070040195,"Dairy",263.0226,1997,"Small","OUT046",4263.67194256992
"5","FDY46","Tier 1","Supermarket Type1",18.6,"Low Fat",0.047964395,"Snack Foods",185.0898,1999,"Medium","OUT049",2985.05006401218
"6","DRD37","Tier 1","Supermarket Type1",9.8,"Low Fat",0.013863257,"Soft Drinks",45.106,1999,"Medium","OUT049",688.374603568677
"7","FDE16","Tier 3","Supermarket Type2",8.895,"Low Fat",0.026451028,"Frozen Foods",210.3954,2009,"Medium","OUT018",3400.23203886783
"8","FDL22","Tier 1","Supermarket Type1",16.85,"Low Fat",0.036446751,"Snack Foods",90.3488,1999,"Medium","OUT049",1430.66070040098
"9","FDO58","Tier 3","Supermarket Type2",19.6,"Low Fat",0.039738393,"Snack Foods",163.7526,2009,"Medium","OUT018",2634.97652954194
"10","FDI35","Tier 1","Supermarket Type1",14,"Low Fat",0.041291169,"Starchy Foods",180.7634,1997,"Small","OUT046",2914.06801671768
"11","FDK55","Tier 3","Supermarket Type2",18.5,"Low Fat",0.02586664,"Meat",88.9172,2009,"Medium","OUT018",1407.17283545395
"12","NCV30","Tier 1","Supermarket Type1",20.2,"Low Fat",0.065932087,"Household",64.851,1997,"Small","OUT046",1012.32535334441
